year,month,scope,activity_name,emission_kgco2e,emission_tco2e
2566,1,Scope 1,น้ำมัน Diesel,297.930626,0.29793063
2566,2,Scope 1,น้ำมัน Diesel,227.716454,0.22771645
2566,3,Scope 1,น้ำมัน Diesel,81.313602,0.0813136
2566,4,Scope 1,น้ำมัน Diesel,292.586456,0.29258646
2566,5,Scope 1,น้ำมัน Diesel,195.651434,0.19565143
2566,6,Scope 1,น้ำมัน Diesel,319.41693,0.31941693
2566,7,Scope 1,น้ำมัน Diesel,138.345488,0.13834549
2566,8,Scope 1,น้ำมัน Diesel,138.318082,0.13831808
2566,9,Scope 1,น้ำมัน Diesel,141.086088,0.14108609
2566,10,Scope 1,น้ำมัน Diesel,164.29897,0.16429897
2566,11,Scope 1,น้ำมัน Diesel,196.473614,0.19647361
2566,12,Scope 1,น้ำมัน Diesel,342.02688,0.34202688
2566,1,Scope 1,"น้ำมัน Gasohol 91, E20, E85",38.472892,0.03847289
2566,2,Scope 1,"น้ำมัน Gasohol 91, E20, E85",30.388658,0.03038866
2566,3,Scope 1,"น้ำมัน Gasohol 91, E20, E85",44.788,0.044788
2566,6,Scope 1,"น้ำมัน Gasohol 91, E20, E85",97.07799,0.09707799
2566,1,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,670.32,0.67032
2566,2,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,638.4,0.6384
2566,3,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,702.24,0.70224
2566,4,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,542.64,0.54264
2566,5,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,702.24,0.70224
2566,6,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,670.32,0.67032
2566,7,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,638.4,0.6384
2566,8,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,670.32,0.67032
2566,9,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,670.32,0.67032
2566,10,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,638.4,0.6384
2566,11,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,702.24,0.70224
2566,12,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,574.56,0.57456
2566,1,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,56.7168,0.0567168
2566,2,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,53.2224,0.0532224
2566,3,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,104.2944,0.1042944
2566,4,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,73.6512,0.0736512
2566,5,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,55.2384,0.0552384
2566,6,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,44.8896,0.0448896
2566,7,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,69.7536,0.0697536
2566,8,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,67.872,0.067872
2566,9,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,50.9376,0.0509376
2566,10,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,55.3728,0.0553728
2566,11,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,63.4368,0.0634368
2566,12,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,46.9056,0.0469056
2566,1,Scope 2,การใช้พลังงานไฟฟ้า,12542.610976,12.54261098
2566,2,Scope 2,การใช้พลังงานไฟฟ้า,13804.473553,13.80447355
2566,3,Scope 2,การใช้พลังงานไฟฟ้า,17999.269426,17.99926943
2566,4,Scope 2,การใช้พลังงานไฟฟ้า,18712.076836,18.71207684
2566,5,Scope 2,การใช้พลังงานไฟฟ้า,20748.274515,20.74827452
2566,6,Scope 2,การใช้พลังงานไฟฟ้า,20874.699225,20.87469923
2566,7,Scope 2,การใช้พลังงานไฟฟ้า,22952.928496,22.9529285
