year,month_th,month_idx,people,cubic_meter,cost_baht,m3_per_person
2567,ม.ค.,1,95.00,291.000,2328.00,3.0632
2567,ก.พ.,2,95.00,467.300,3738.40,4.9189
2567,มี.ค.,3,95.00,507.600,4060.80,5.3432
2567,เม.ย.,4,95.00,452.300,3618.40,4.7611
2567,พ.ค.,5,95.00,408.700,3269.60,4.3021
2567,มิ.ย.,6,95.00,369.000,2952.00,3.8842
2567,ก.ค.,7,95.00,462.100,3696.80,4.8642
2567,ส.ค.,8,95.00,348.600,2788.80,3.6695
2567,ก.ย.,9,95.00,355.500,2844.00,3.7421
2567,ต.ค.,10,95.00,463.600,3708.80,4.8800
2567,พ.ย.,11,95.00,508.100,4064.80,5.3484
2567,ธ.ค.,12,95.00,1032.600,8260.80,10.8695
2568,ม.ค.,1,95.00,939.000,7512.00,9.8842
2568,ก.พ.,2,95.00,447.500,3580.00,4.7105
2568,มี.ค.,3,95.00,555.000,4440.00,5.8421
2568,เม.ย.,4,95.00,594.600,4756.80,6.2589
2568,พ.ค.,5,95.00,697.300,5578.40,7.3400
2568,มิ.ย.,6,95.00,662.700,5301.60,6.9758
2568,ก.ค.,7,95.00,642.700,5141.60,6.7653
2568,ส.ค.,8,95.00,696.500,5572.00,7.3316
2568,ก.ย.,9,95.00,734.100,5872.80,7.7274
2568,ต.ค.,10,95.00,599.400,4795.20,6.3095
2568,พ.ย.,11,95.00,840.600,6724.80,8.8484
2568,ธ.ค.,12,95.00,928.100,7424.80,9.7695
